Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,3,Male,1,Single,22673,1,No,3,3,6
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Female,2,Single,23016,3,Yes,3,3,3
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,4,Male,2,Divorced,10732,2,No,3,3,3
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,Female,2,Married,7505,0,No,3,3,4
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,4,Female,1,Divorced,8007,0,Yes,3,3,9
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,1,Male,5,Divorced,5949,0,No,3,3,21
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,3,Male,1,Married,23231,1,No,3,2,1
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,3,Male,1,Single,11652,0,No,3,4,5
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,2,Male,1,Married,26062,1,No,4,1,5
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,2,Married,19682,3,No,3,3,8
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,4,Male,2,Single,19737,4,No,3,3,6
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,3,Female,4,Married,14977,3,Yes,3,2,7
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,Male,1,Single,14935,2,No,3,1,0
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,Male,2,Married,3687,2,No,3,3,0
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,2,Male,2,Married,14408,0,No,4,3,9
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,2,Male,2,Divorced,18384,1,No,3,3,6
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,3,Male,4,Married,7501,0,Yes,3,3,20
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Male,1,Married,20251,0,No,3,3,15
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,4,Male,5,Single,18938,0,Yes,3,3,36
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,1,Male,3,Married,10268,1,Yes,3,2,10
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,4,Male,1,Married,2613,1,No,4,2,5
37,No,Travel_Rarely,228,Sales,6,4,Medical,3,Male,2,Married,22825,4,No,3,4,5
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,1,Single,10531,1,No,3,4,3
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,Female,3,Divorced,11677,2,Yes,3,3,5
35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,3,Divorced,19100,7,No,3,2,7
38,No,Travel_Rarely,322,Sales,7,2,Medical,1,Female,2,Divorced,19191,1,Yes,4,3,8
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,2,Divorced,26767,1,No,4,1,6
50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,5,Divorced,15815,3,No,3,2,10
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,4,Married,21016,3,Yes,3,2,5
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,2,Married,24532,1,No,4,3,20
29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,2,,2,Single,20260,1,No,3,2,10
55,No,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,2,Married,15972,3,Yes,3,3,10
26,No,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,2,Married,22722,1,Yes,3,3,5
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,1,Single,15881,1,No,3,3,17
44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,1,Divorced,19920,3,Yes,4,1,1
38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,2,Divorced,18899,9,No,3,3,2
26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,1,Divorced,14180,2,Yes,3,3,3
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,1,Single,4488,1,No,4,3,5
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,5,Single,25594,9,Yes,3,3,3
36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,2,Single,26285,4,No,3,3,8
31,No,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,1,Divorced,3909,1,No,3,2,2
26,Yes,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,2,Single,8450,1,Yes,3,3,8
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,1,Married,11411,1,Yes,3,2,4
42,No,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,4,Married,14864,5,No,3,4,20
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,1,Single,25233,1,No,3,3,0
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,3,Married,5100,0,No,3,2,11
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,1,Married,7122,4,No,3,3,1
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,2,Divorced,16321,5,No,3,3,4
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,4,Single,15896,1,No,3,3,22
18,No,Travel_Rarely,812,Sales,10,3,Medical,4,Female,1,Single,9724,1,No,3,3,0
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,2,Single,4824,0,No,3,3,8
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,2,Married,,4,No,3,2,8
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,3,Divorced,10942,0,No,3,2,18
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,2,Married,6927,7,No,3,3,9
32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,2,Married,16985,1,No,3,2,13
38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,3,Married,26707,3,No,3,3,10
58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,2,Divorced,17056,2,Yes,3,3,5
31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,1,Married,10077,0,Yes,3,3,5
31,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,2,Married,17822,3,No,3,3,2
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,3,Divorced,20308,1,No,3,3,24
31,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,1,Divorced,7747,0,Yes,3,1,2
33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,3,Married,23364,6,No,3,3,10
39,No,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,4,Married,5355,1,Yes,3,3,21
43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,1,Single,10675,0,No,3,3,8
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,4,Single,17810,7,Yes,3,3,7
52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,2,Married,17747,2,No,3,2,8
27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,1,Single,20938,1,Yes,3,2,4
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,2,Married,24624,1,Yes,3,3,13
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,2,Single,5242,1,Yes,3,3,5
31,No,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,2,Divorced,7143,4,No,3,3,7
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,2,Single,10557,7,No,3,2,7
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,1,Married,24737,5,Yes,3,2,3
30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,2,Married,11934,1,No,3,3,10
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,3,Married,14034,1,No,4,3,10
39,No,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,5,Married,21141,1,No,3,3,21
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,2,Married,17778,4,Yes,3,2,1
33,No,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,2,Single,4317,3,No,3,2,7
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,5,Married,16375,4,No,3,3,3
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,2,Divorced,6227,1,No,3,4,9
27,No,Non-Travel,210,Sales,1,1,Marketing,3,Male,2,Married,22107,0,Yes,3,3,5
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,2,Single,16885,3,No,3,2,4
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,3,Married,9262,8,No,3,2,1
45,No,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,2,Married,9278,9,No,3,3,10
40,No,Travel_Rarely,1124,Sales,1,2,Medical,2,,2,Married,13273,2,Yes,4,2,4
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,1,Married,4759,1,Yes,3,2,7
29,No,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,1,Single,7621,0,No,3,3,3
30,No,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,2,Divorced,5431,1,No,3,3,10
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,2,Married,3415,1,No,3,3,8
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,2,Divorced,23177,7,No,3,2,6
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,3,Divorced,15682,0,Yes,3,3,11
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,3,Single,25713,1,Yes,3,2,11
29,No,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,2,Divorced,11866,1,Yes,3,3,7
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,3,Single,18264,0,No,3,3,16
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,1,Divorced,16092,1,No,3,2,4
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,2,Single,10110,6,Yes,3,3,5
47,No,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,2,Single,25751,3,No,3,3,0
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,4,Single,15901,2,No,3,3,1
29,No,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,2,Married,16928,1,No,3,2,4
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,1,Divorced,24017,0,Yes,3,3,3
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,1,Married,3956,1,No,3,3,8
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,Female,3,Married,23978,3,No,4,1,0
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,2,Divorced,17001,4,Yes,3,3,7
30,No,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,2,Married,6069,7,Yes,3,4,2
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,2,Married,20156,1,No,3,3,8
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,2,Single,17078,3,No,4,3,1
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,1,Single,9150,1,Yes,3,3,3
36,No,Non-Travel,845,Sales,1,5,Medical,4,Female,2,Single,,4,No,3,3,1
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,Male,3,Married,7246,4,No,3,3,13
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,2,Married,2967,2,No,3,3,3
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,1,Married,22495,3,Yes,3,3,7
21,No,Non-Travel,895,Sales,9,2,Medical,1,Male,1,Single,2851,1,No,4,2,3
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,1,Single,9150,1,Yes,3,3,1
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,1,Married,17663,6,No,4,3,5
46,No,Non-Travel,1144,Research & Development,7,4,Medical,3,,2,Married,16044,2,No,3,4,1
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,2,Single,9558,1,No,3,3,8
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,3,Single,2755,6,No,3,3,4
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,2,Married,6110,2,Yes,3,3,6
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,,1,Single,7551,0,Yes,3,3,2
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,1,Single,25422,1,No,3,3,1
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,1,Single,18168,9,No,3,3,3
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,2,Single,19394,9,No,3,3,1
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,1,Divorced,17881,1,No,3,3,5
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,2,Single,20750,1,No,3,3,7
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,3,Single,12066,8,No,4,3,5
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,2,Married,14862,4,No,3,2,7
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,1,Married,11868,4,No,3,3,2
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,Male,2,Single,4652,8,Yes,3,2,5
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,4,Single,23258,2,Yes,3,3,5
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,2,Divorced,5915,1,Yes,3,4,5
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,1,Married,17434,1,No,3,3,1
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,1,Single,6582,0,No,4,3,6
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,1,Married,24440,1,No,3,3,2
36,No,Travel_Rarely,164,Sales,2,2,Medical,2,Male,3,Married,3809,1,No,3,3,10
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,1,Single,3427,9,Yes,4,3,1
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,1,Divorced,26914,1,No,3,2,18
40,No,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,2,Divorced,22553,7,No,3,3,5
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,1,Divorced,20490,3,No,3,3,5
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,2,Single,21123,2,Yes,3,2,1
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,4,Divorced,4345,1,No,3,3,25
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,2,Married,13436,6,No,4,3,1
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,5,Married,8509,4,No,3,2,4
34,No,Non-Travel,1381,Sales,4,4,Marketing,3,Female,2,Married,12740,9,No,3,3,3
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,2,Married,4156,1,No,3,1,13
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,1,Married,15238,7,No,4,3,3
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,2,Divorced,2227,4,Yes,3,3,5
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,2,Single,12090,1,Yes,3,3,5
37,No,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,2,Married,23866,3,Yes,3,3,13
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,1,Married,16193,1,No,3,3,4
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,5,Divorced,8213,1,Yes,3,3,21
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,4,Married,18256,9,No,3,2,7
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,2,Single,19558,0,No,3,3,5
41,No,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,3,Married,19566,1,No,3,3,10
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,2,Divorced,13535,1,No,3,3,10
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,1,Married,9396,5,No,3,3,2
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,3,Married,19609,2,Yes,3,3,5
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,1,Married,9655,3,No,4,2,2
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,4,Married,10310,2,No,3,1,5
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,2,Divorced,12932,2,No,3,3,5
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,2,Single,24793,2,No,4,3,5
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,5,Married,3854,5,No,3,1,29
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,2,Divorced,26314,2,No,3,2,10
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,2,Married,4386,0,No,3,4,6
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,1,Single,21972,1,Yes,3,3,5
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,1,Divorced,12253,0,No,3,2,2
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,1,Married,,1,Yes,4,3,1
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,5,Married,13022,0,No,3,3,20
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,1,Divorced,3032,1,No,4,1,3
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,1,Married,16734,4,No,3,1,5
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,3,Married,21526,1,No,3,3,10
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,1,Married,18300,5,No,3,4,2
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,1,Single,18437,1,No,3,4,1
30,No,Non-Travel,1398,Sales,22,4,Other,3,Female,3,Married,2890,0,No,3,3,9
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,4,Divorced,22102,3,No,3,2,1
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,4,Married,9314,0,No,3,3,27
30,No,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,1,Single,7181,0,No,3,2,11
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,3,Married,2845,4,No,3,4,18
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,2,Divorced,7389,5,No,3,3,5
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,4,Married,2288,6,No,3,1,3
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,1,Single,19225,0,No,3,3,5
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,2,Single,23428,7,No,3,3,1
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,1,Divorced,8416,3,No,3,3,7
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,3,Married,11563,2,Yes,3,3,3
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,3,Divorced,14394,1,No,4,4,13
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,3,Married,24619,7,Yes,3,4,7
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,1,Divorced,6705,7,No,3,3,4
30,No,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,1,Single,18398,0,No,3,3,3
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,3,Married,14295,4,Yes,3,3,8
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,3,Married,22908,3,No,3,3,1
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,3,Divorced,11533,9,Yes,3,3,3
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,1,Married,9260,4,No,3,3,2
36,No,Non-Travel,635,Sales,10,4,Medical,2,,3,Single,15318,1,No,3,2,10
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,1,Single,9129,5,No,3,3,2
48,No,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,2,Married,19658,2,No,3,3,9
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,4,Single,9873,3,No,4,3,10
41,No,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,2,Single,13430,7,No,3,3,14
35,No,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,2,Married,,9,No,3,3,11
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,4,Single,20364,7,No,3,3,20
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,1,Married,17872,1,No,3,3,8
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,2,Single,8346,4,Yes,3,4,6
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,3,Married,6950,1,Yes,4,2,10
45,No,Travel_Rarely,561,Sales,2,3,Other,4,Male,2,Married,16177,0,No,3,4,8
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,1,Divorced,22808,0,Yes,3,2,7
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,2,Divorced,22645,4,No,3,4,3
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,4,Divorced,22578,4,No,3,3,6
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,3,,3,Divorced,25291,9,No,4,2,5
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,1,Single,8059,1,Yes,3,3,0
40,No,Non-Travel,1094,Sales,28,3,Other,3,Male,3,Divorced,11373,3,No,3,3,1
41,No,Non-Travel,509,Research & Development,2,4,Other,1,Female,2,Single,2112,2,Yes,3,3,8
26,No,Travel_Rarely,775,Sales,29,2,Medical,1,Male,2,Divorced,4267,5,No,3,3,0
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,Female,2,Single,6698,1,No,3,3,5
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,2,Single,19921,1,No,3,3,10
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,1,Single,23213,1,Yes,3,1,1
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,3,Single,23848,4,No,3,4,6
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,3,Married,8984,5,No,3,2,2
41,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,4,Married,5626,7,No,3,3,18
37,No,Non-Travel,142,Sales,9,4,Medical,1,Male,3,Divorced,24666,1,No,3,3,9
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,2,Divorced,22087,3,Yes,3,3,10
32,Yes,Non-Travel,1474,Sales,11,4,Other,4,Male,2,Married,23914,8,No,3,3,4
24,No,Travel_Frequently,535,Sales,24,3,Medical,4,Male,1,Married,5530,0,No,3,3,2
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,2,Married,22174,3,No,3,3,1
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,2,Married,15701,6,No,3,2,6
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,5,Divorced,2125,1,Yes,3,3,31
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,1,Married,21630,1,Yes,3,3,6
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,2,Married,7428,1,No,4,4,5
24,No,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,1,Married,9100,1,No,4,3,1
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,5,Married,,1,No,3,3,32
25,No,Travel_Rarely,622,Sales,13,1,Medical,2,Male,1,Married,26376,1,No,3,3,7
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,1,Married,14168,1,Yes,3,3,6
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,1,Married,14470,1,No,3,4,1
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,1,Married,22794,1,Yes,3,3,6
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,2,Divorced,11512,2,No,3,1,3
35,No,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,2,Single,14004,4,No,3,3,3
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,Male,2,Divorced,6219,4,No,4,4,7
27,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,1,Divorced,5013,0,No,3,2,5
37,No,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,2,Married,3010,4,Yes,3,2,3
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,1,Single,11757,1,No,3,4,1
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,2,Married,5718,1,No,3,3,10
43,No,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,4,Divorced,2671,4,Yes,3,2,1
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,1,Single,14561,3,No,3,2,0
43,No,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,2,Divorced,19627,3,Yes,3,3,8
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,4,Married,17997,7,No,3,1,3
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,2,Single,26894,4,No,3,4,2
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,1,Divorced,2912,1,Yes,3,3,8
27,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,1,Divorced,16346,0,No,3,3,4
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,1,Single,24444,1,No,3,3,3
44,No,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,5,Married,9358,4,Yes,3,4,2
22,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,1,Married,12145,0,No,4,3,2
33,No,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,2,Divorced,20431,0,No,3,3,5
32,No,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,2,Married,18089,1,Yes,3,2,6
30,No,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,1,Divorced,22653,1,No,4,3,1
53,No,Travel_Rarely,238,Sales,1,1,Medical,4,Female,2,Single,7507,7,No,4,4,14
34,No,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,2,Male,1,Married,7660,1,No,3,2,10
45,Yes,Travel_Frequently,306,Sales,26,4,Life Sciences,1,Female,2,Married,5630,2,No,3,3,1
26,No,Travel_Rarely,991,Research & Development,6,3,Life Sciences,3,Female,1,Married,17759,1,Yes,3,3,3
37,No,Travel_Rarely,482,Research & Development,3,3,Other,3,Male,3,Married,,1,No,3,3,10
