,pclass,sex,age,fare,embarked,alone,survived
860,3,male,41.0,14.1083,S,False,0
861,2,male,21.0,11.5,S,False,0
862,1,female,48.0,25.9292,S,True,1
864,2,male,24.0,13.0,S,True,0
865,2,female,42.0,13.0,S,True,1
866,2,female,27.0,13.8583,C,False,1
867,1,male,31.0,50.4958,S,True,0
869,3,male,4.0,11.1333,S,False,1
870,3,male,26.0,7.8958,S,True,0
871,1,female,47.0,52.5542,S,False,1
872,1,male,33.0,5.0,S,True,0
873,3,male,47.0,9.0,S,True,0
874,2,female,28.0,24.0,C,False,1
875,3,female,15.0,7.225,C,True,1
876,3,male,20.0,9.8458,S,True,0
877,3,male,19.0,7.8958,S,True,0
879,1,female,56.0,83.1583,C,False,1
880,2,female,25.0,26.0,S,False,1
881,3,male,33.0,7.8958,S,True,0
882,3,female,22.0,10.5167,S,True,0
883,2,male,28.0,10.5,S,True,0
884,3,male,25.0,7.05,S,True,0
885,3,female,39.0,29.125,Q,False,0
886,2,male,27.0,13.0,S,True,0
887,1,female,19.0,30.0,S,True,1
889,1,male,26.0,30.0,C,True,1
890,3,male,32.0,7.75,Q,True,0
